doc_id	path	title
4363	books/pg04363_Beyond_Good_and_Evil.txt	Beyond Good and Evil
4367	books/pg04367_Personal_Memoirs_of_U_S_Grant_Complete.txt	Personal Memoirs of U S Grant Complete
4499	books/pg04499_Complete_Short_Works_of_George_Meredith.txt	Complete Short Works of George Meredith
4712	books/pg04712_The_Landloper_The_Romance_of_a_Man_on_Foot.txt	The Landloper The Romance of a Man on Foot
5131	books/pg05131_Childe_Harold_s_Pilgrimage.txt	Childe Harold s Pilgrimage
5197	books/pg05197_My_Life_Volume_1.txt	My Life Volume 1
5200	books/pg05200_Metamorphosis.txt	Metamorphosis
5827	books/pg05827_The_Problems_of_Philosophy.txt	The Problems of Philosophy
5921	books/pg05921_The_History_of_Don_Quixote_Volume_1_Complete.txt	The History of Don Quixote Volume 1 Complete
6081	books/pg06081_Biographia_Literaria.txt	Biographia Literaria
6130	books/pg06130_The_Iliad.txt	The Iliad
6133	books/pg06133_The_Extraordinary_Adventures_of_Ars_ne_Lupin_Gentleman_Burgl.txt	The Extraordinary Adventures of Ars ne Lupin Gentleman Burgl
6400	books/pg06400_The_Lives_of_the_Twelve_Caesars_Complete.txt	The Lives of the Twelve Caesars Complete
6593	books/pg06593_History_of_Tom_Jones_a_Foundling.txt	History of Tom Jones a Foundling
6635	books/pg06635_A_Romance_of_Billy_Goat_Hill.txt	A Romance of Billy Goat Hill
6761	books/pg06761_The_Adventures_of_Ferdinand_Count_Fathom_Complete.txt	The Adventures of Ferdinand Count Fathom Complete
7326	books/pg07326_The_Yeoman_Adventurer.txt	The Yeoman Adventurer
7370	books/pg07370_Second_Treatise_of_Government.txt	Second Treatise of Government
7452	books/pg07452_Autobiography_of_a_Yogi.txt	Autobiography of a Yogi
7524	books/pg07524_The_Germany_and_the_Agricola_of_Tacitus.txt	The Germany and the Agricola of Tacitus
7700	books/pg07700_Lysistrata.txt	Lysistrata
7735	books/pg07735_Paul_Clifford_Complete.txt	Paul Clifford Complete
8197	books/pg08197_India_s_Love_Lyrics.txt	India s Love Lyrics
8438	books/pg08438_The_Ethics_of_Aristotle.txt	The Ethics of Aristotle
8486	books/pg08486_Ghost_Stories_of_an_Antiquary.txt	Ghost Stories of an Antiquary
8492	books/pg08492_The_King_in_Yellow.txt	The King in Yellow
8710	books/pg08710_The_Dor_Bible_Gallery_Complete_Containing_One_Hundred_Superb.txt	The Dor Bible Gallery Complete Containing One Hundred Superb
8800	books/pg08800_The_divine_comedy.txt	The divine comedy
8954	books/pg08954_Lady_Audley_s_Secret.txt	Lady Audley s Secret
9695	books/pg09695_Bleak_House.txt	Bleak House
9701	books/pg09701_I_Beowulf_an_Anglo_Saxon_poem_II_The_fight_at_Finnsburh_a_fr.txt	I Beowulf an Anglo Saxon poem II The fight at Finnsburh a fr
10002	books/pg10002_The_House_on_the_Borderland.txt	The House on the Borderland
10007	books/pg10007_Carmilla.txt	Carmilla
10148	books/pg10148_The_Merry_Adventures_of_Robin_Hood.txt	The Merry Adventures of Robin Hood
10441	books/pg10441_The_Green_Mouse.txt	The Green Mouse
10623	books/pg10623_Plays.txt	Plays
10625	books/pg10625_A_Concise_Dictionary_of_Middle_English_from_A_D_1150_to_1580.txt	A Concise Dictionary of Middle English from A D 1150 to 1580
10636	books/pg10636_The_Travels_of_Marco_Polo_Volume_1.txt	The Travels of Marco Polo Volume 1
10676	books/pg10676_The_Reign_of_Greed.txt	The Reign of Greed
10681	books/pg10681_Roget_s_Thesaurus_of_English_Words_and_Phrases.txt	Roget s Thesaurus of English Words and Phrases
11030	books/pg11030_Incidents_in_the_Life_of_a_Slave_Girl_Written_by_Herself.txt	Incidents in the Life of a Slave Girl Written by Herself
11339	books/pg11339_Aesop_s_Fables_a_new_translation.txt	Aesop s Fables a new translation
11618	books/pg11618_From_Chaucer_to_Tennyson_With_Twenty_Nine_Portraits_and_Sele.txt	From Chaucer to Tennyson With Twenty Nine Portraits and Sele
11982	books/pg11982_Eighty_Years_and_More_Reminiscences_1815_1897.txt	Eighty Years and More Reminiscences 1815 1897
11987	books/pg11987_By_Advice_of_Counsel.txt	By Advice of Counsel
12082	books/pg12082_Color_Images_from_Mars_Rovers_Spirit_and_Opportunity.txt	Color Images from Mars Rovers Spirit and Opportunity
12345	books/pg12345_Friday_the_Thirteenth_A_Novel.txt	Friday the Thirteenth A Novel
12758	books/pg12758_Library_of_the_World_s_Best_Mystery_and_Detective_Stories.txt	Library of the World s Best Mystery and Detective Stories
13188	books/pg13188_Putnam_s_Word_Book_A_Practical_Aid_in_Expressing_Ideas_Throu.txt	Putnam s Word Book A Practical Aid in Expressing Ideas Throu
14244	books/pg14244_The_Romance_of_Tristan_and_Iseult.txt	The Romance of Tristan and Iseult
14328	books/pg14328_The_Consolation_of_Philosophy.txt	The Consolation of Philosophy
14471	books/pg14471_The_Empty_House_and_Other_Ghost_Stories.txt	The Empty House and Other Ghost Stories
14591	books/pg14591_Faust_part_1_Translated_Into_English_in_the_Original_Metres.txt	Faust part 1 Translated Into English in the Original Metres
14818	books/pg14818_The_Daughter_of_Anderson_Crow.txt	The Daughter of Anderson Crow
14838	books/pg14838_The_Tale_of_Peter_Rabbit.txt	The Tale of Peter Rabbit
14860	books/pg14860_The_Journal_of_Sir_Walter_Scott_From_the_Original_Manuscript.txt	The Journal of Sir Walter Scott From the Original Manuscript
15272	books/pg15272_Spenser_s_The_Faerie_Queene_Book_I.txt	Spenser s The Faerie Queene Book I
15381	books/pg15381_Victorian_Short_Stories_Stories_of_Courtship.txt	Victorian Short Stories Stories of Courtship
15384	books/pg15384_The_Real_Adventure.txt	The Real Adventure
15399	books/pg15399_The_Interesting_Narrative_of_the_Life_of_Olaudah_Equiano_Or_.txt	The Interesting Narrative of the Life of Olaudah Equiano Or 
15474	books/pg15474_The_Mahabharata_of_Krishna_Dwaipayana_Vyasa_Volume_1_Books_1.txt	The Mahabharata of Krishna Dwaipayana Vyasa Volume 1 Books 1
15877	books/pg15877_Thoughts_of_Marcus_Aurelius_Antoninus.txt	Thoughts of Marcus Aurelius Antoninus
16328	books/pg16328_Beowulf_An_Anglo_Saxon_Epic_Poem.txt	Beowulf An Anglo Saxon Epic Poem
16351	books/pg16351_Critical_and_Historical_Essays_Lectures_delivered_at_Columbi.txt	Critical and Historical Essays Lectures delivered at Columbi
16389	books/pg16389_The_Enchanted_April.txt	The Enchanted April
16433	books/pg16433_The_Gay_Cockade.txt	The Gay Cockade
16643	books/pg16643_Essays_by_Ralph_Waldo_Emerson.txt	Essays by Ralph Waldo Emerson
16679	books/pg16679_The_history_of_England_from_the_accession_of_Henry_III_to_th.txt	The history of England from the accession of Henry III to th
16921	books/pg16921_Plague_Ship.txt	Plague Ship
17157	books/pg17157_Gulliver_s_Travels_into_Several_Remote_Regions_of_the_World.txt	Gulliver s Travels into Several Remote Regions of the World
18269	books/pg18269_Pascal_s_Pens_es.txt	Pascal s Pens es
18857	books/pg18857_A_Journey_to_the_Centre_of_the_Earth.txt	A Journey to the Centre of the Earth
19476	books/pg19476_A_Honeymoon_in_Space.txt	A Honeymoon in Space
19488	books/pg19488_The_Life_of_Joan_of_Arc_Vol_1_and_2.txt	The Life of Joan of Arc Vol 1 and 2
19839	books/pg19839_Emma.txt	Emma
19942	books/pg19942_Candide.txt	Candide
20000	books/pg20000_Twenty_Thousand_Leagues_Under_the_Sea.txt	Twenty Thousand Leagues Under the Sea
20027	books/pg20027_Grimms_Fairy_Tales.txt	Grimms Fairy Tales
20203	books/pg20203_Autobiography_of_Benjamin_Franklin.txt	Autobiography of Benjamin Franklin
20265	books/pg20265_Anne_of_the_Island.txt	Anne of the Island
20417	books/pg20417_The_Outline_of_Science_Vol_1_of_4_A_Plain_Story_Simply_Told.txt	The Outline of Science Vol 1 of 4 A Plain Story Simply Told
20593	books/pg20593_Anne_of_Green_Gables.txt	Anne of Green Gables
21181	books/pg21181_Villette.txt	Villette
21436	books/pg21436_Poems_Every_Child_Should_Know.txt	Poems Every Child Should Know
21700	books/pg21700_Don_Juan.txt	Don Juan
21765	books/pg21765_The_Metamorphoses_of_Ovid_Books_I_VII.txt	The Metamorphoses of Ovid Books I VII
22541	books/pg22541_The_Misplaced_Battleship.txt	The Misplaced Battleship
22542	books/pg22542_Jesus_the_Christ_A_Study_of_the_Messiah_and_His_Mission_Acco.txt	Jesus the Christ A Study of the Messiah and His Mission Acco
22788	books/pg22788_The_Federalist_Papers.txt	The Federalist Papers
22789	books/pg22789_On_the_Duties_of_the_Clergy.txt	On the Duties of the Clergy
22815	books/pg22815_The_Philippine_Islands_A_Political_Geographical_Ethnographic.txt	The Philippine Islands A Political Geographical Ethnographic
22981	books/pg22981_Letters_of_Two_Brides.txt	Letters of Two Brides
23349	books/pg23349_The_Religious_Experience_of_the_Roman_People_From_the_Earlie.txt	The Religious Experience of the Roman People From the Earlie
23784	books/pg23784_The_History_of_Sir_Richard_Calmady_A_Romance.txt	The History of Sir Richard Calmady A Romance
24253	books/pg24253_Folkways_A_Study_of_the_Sociological_Importance_of_Usages_Ma.txt	Folkways A Study of the Sociological Importance of Usages Ma
24739	books/pg24739_Bidwell_s_Travels_from_Wall_Street_to_London_Prison_Fifteen_.txt	Bidwell s Travels from Wall Street to London Prison Fifteen 
24869	books/pg24869_The_R_m_yan_of_V_lm_ki_translated_into_English_verse.txt	The R m yan of V lm ki translated into English verse
25344	books/pg25344_The_Scarlet_Letter.txt	The Scarlet Letter
25833	books/pg25833_The_Great_Controversy_Between_Christ_and_Satan.txt	The Great Controversy Between Christ and Satan
25851	books/pg25851_The_Life_of_Charles_Dickens_Vol_I_III_Complete.txt	The Life of Charles Dickens Vol I III Complete
26184	books/pg26184_Simple_Sabotage_Field_Manual.txt	Simple Sabotage Field Manual
26225	books/pg26225_Fifteen_Thousand_Useful_Phrases.txt	Fifteen Thousand Useful Phrases
26471	books/pg26471_Spoon_River_Anthology.txt	Spoon River Anthology
27673	books/pg27673_Oedipus_King_of_Thebes_Translated_into_English_Rhyming_Verse.txt	Oedipus King of Thebes Translated into English Rhyming Verse
28054	books/pg28054_The_Brothers_Karamazov.txt	The Brothers Karamazov
28189	books/pg28189_My_Friends_the_Savages_Notes_and_Observations_of_a_Perak_set.txt	My Friends the Savages Notes and Observations of a Perak set
28811	books/pg28811_Barchester_Towers.txt	Barchester Towers
28942	books/pg28942_The_Junior_Classics_Volume_1_Fairy_and_wonder_tales.txt	The Junior Classics Volume 1 Fairy and wonder tales
29090	books/pg29090_The_Complete_Poetical_Works_of_Samuel_Taylor_Coleridge_Vol_1.txt	The Complete Poetical Works of Samuel Taylor Coleridge Vol 1
